,_id,CATEGORY,DASH_CATEGORY
1,5f2bca13ba0be61b0c1ca1af,NULL,D1
20,5f2bca14ba0be61b0c1ca40a,NULL,D1
36,5f2bca16ba0be61b0c1ca576,NULL,D1
54,5f2bca16ba0be61b0c1ca7c8,Anchorage,D1
57,5f2bca16ba0be61b0c1ca7f9,Anchorage,D1
58,5f2bca16ba0be61b0c1ca801,Anchorage,D1
64,5f2bca16ba0be61b0c1ca860,NULL,D1
68,5f2bca18ba0be61b0c1ca977,Anchorage,D1
73,5f2bca18ba0be61b0c1caa8d,NULL,D1
74,5f2bca18ba0be61b0c1caa9b,Clarksville-Montgomery County School System,D1
77,5f2bca18ba0be61b0c1cab22,NULL,D1
97,5f2bca1aba0be61b0c1cae21,NULL,D1
119,5f2bca1cba0be61b0c1cb253,NULL,D1
145,5f2bca1fba0be61b0c1cb764,Oakland Unified School District,D1
146,5f2bca1fba0be61b0c1cb7b6,LAUSD,D1
147,5f2bca1fba0be61b0c1cb7bd,LAUSD,D1
148,5f2bca1fba0be61b0c1cb7c2,LAUSD,D1
149,5f2bca1fba0be61b0c1cb7c3,LAUSD,D1
153,5f2bca1fba0be61b0c1cb7e3,Oakland Unified School District,D1
154,5f2bca1fba0be61b0c1cb7e5,LAUSD,D1
157,5f2bca1fba0be61b0c1cb802,LAUSD,D1
159,5f2bca1fba0be61b0c1cb831,LAUSD,D1
161,5f2bca1fba0be61b0c1cb85b,LAUSD,D1
162,5f2bca1fba0be61b0c1cb866,Fairfield-Suisun Unified School District,D1
164,5f2bca1fba0be61b0c1cb87e,Fairfield-Suisun Unified School District,D1
169,5f2bca1fba0be61b0c1cb8d3,LAUSD,D1
170,5f2bca1fba0be61b0c1cb8dd,Fairfield-Suisun Unified School District,D1
173,5f2bca20ba0be61b0c1cb8f5,Chula Vista Elementary School District,D1
175,5f2bca20ba0be61b0c1cb90a,LAUSD,D1
176,5f2bca20ba0be61b0c1cb921,LAUSD,D1
178,5f2bca20ba0be61b0c1cb93c,Fairfield-Suisun Unified School District,D1
181,5f2bca20ba0be61b0c1cb94d,San Diego Unified School District,D1
182,5f2bca20ba0be61b0c1cb94e,LAUSD,D1
183,5f2bca20ba0be61b0c1cb955,LAUSD,D1
185,5f2bca20ba0be61b0c1cb963,NULL,D1
186,5f2bca20ba0be61b0c1cb964,NULL,D1
190,5f2bca20ba0be61b0c1cb9b4,LAUSD,D1
194,5f2bca20ba0be61b0c1cb9d9,LAUSD,D1
196,5f2bca20ba0be61b0c1cb9ee,LAUSD,D1
197,5f2bca20ba0be61b0c1cb9f3,LAUSD,D1
200,5f2bca20ba0be61b0c1cba09,LAUSD,D1
204,5f2bca20ba0be61b0c1cba3b,LAUSD,D1
205,5f2bca20ba0be61b0c1cba41,NULL,D1
217,5f2bca20ba0be61b0c1cbab4,LAUSD,D1
218,5f2bca20ba0be61b0c1cbab6,NULL,D1
219,5f2bca20ba0be61b0c1cbaba,NULL,D1
221,5f2bca20ba0be61b0c1cbabd,LAUSD,D1
222,5f2bca20ba0be61b0c1cbac2,LAUSD,D1
223,5f2bca20ba0be61b0c1cbac7,Oakland Unified School District,D1
225,5f2bca20ba0be61b0c1cbadf,Oakland Unified School District,D1
231,5f2bca20ba0be61b0c1cbb00,LAUSD,D1
233,5f2bca20ba0be61b0c1cbb2b,Oakland Unified School District,D1
234,5f2bca20ba0be61b0c1cbb42,LAUSD,D1
236,5f2bca20ba0be61b0c1cbb67,Upland Unified School District,D1
243,5f2bca20ba0be61b0c1cbbc3,LAUSD,D1
244,5f2bca20ba0be61b0c1cbbda,United Way Of Santa Barbara,D1
247,5f2bca20ba0be61b0c1cbbde,LAUSD,D1
249,5f2bca20ba0be61b0c1cbbe1,LAUSD,D1
251,5f2bca20ba0be61b0c1cbbfd,LAUSD,D1
252,5f2bca20ba0be61b0c1cbc0e,Oakland Unified School District,D1
256,5f2bca20ba0be61b0c1cbc42,LAUSD,D1
257,5f2bca20ba0be61b0c1cbc43,LAUSD,D1
258,5f2bca20ba0be61b0c1cbc58,Chula Vista Elementary School District,D1
260,5f2bca20ba0be61b0c1cbc61,LAUSD,D1
261,5f2bca20ba0be61b0c1cbc62,Chula Vista Elementary School District,D1
265,5f2bca20ba0be61b0c1cbc86,Paradise Unified School District,D1
267,5f2bca20ba0be61b0c1cbcb9,Oroville City Elementary School District,D1
268,5f2bca21ba0be61b0c1cbcd4,LAUSD,D1
269,5f2bca21ba0be61b0c1cbcef,Oakland Unified School District,D1
270,5f2bca21ba0be61b0c1cbd10,Chico Unified School District,D1
273,5f2bca21ba0be61b0c1cbd18,LAUSD,D1
274,5f2bca21ba0be61b0c1cbd27,LAUSD,D1
275,5f2bca21ba0be61b0c1cbd50,LAUSD,D1
277,5f2bca21ba0be61b0c1cbd6e,LAUSD,D1
278,5f2bca21ba0be61b0c1cbd74,Chula Vista Elementary School District,D1
279,5f2bca21ba0be61b0c1cbd75,Chula Vista Elementary School District,D1
281,5f2bca21ba0be61b0c1cbd7a,LAUSD,D1
282,5f2bca21ba0be61b0c1cbd86,Upland Unified School District,D1
285,5f2bca21ba0be61b0c1cbda8,San Diego Unified School District,D1
286,5f2bca21ba0be61b0c1cbdae,Chula Vista Elementary School District,D1
287,5f2bca21ba0be61b0c1cbdb4,Fairfield-Suisun Unified School District,D1
288,5f2bca21ba0be61b0c1cbdb8,Oakland Unified School District,D1
289,5f2bca21ba0be61b0c1cbdbd,LAUSD,D1
291,5f2bca21ba0be61b0c1cbdf5,Oakland Unified School District,D1
295,5f2bca21ba0be61b0c1cbe31,LAUSD,D1
296,5f2bca21ba0be61b0c1cbe3d,Oakland Unified School District,D1
297,5f2bca21ba0be61b0c1cbe4a,Oakland Unified School District,D1
298,5f2bca21ba0be61b0c1cbe4c,LAUSD,D1
299,5f2bca21ba0be61b0c1cbe64,Chula Vista Elementary School District,D1
301,5f2bca21ba0be61b0c1cbe6f,Fairfield-Suisun Unified School District,D1
309,5f2bca21ba0be61b0c1cbed8,LAUSD,D1
310,5f2bca21ba0be61b0c1cbedf,Fairfield-Suisun Unified School District,D1
311,5f2bca21ba0be61b0c1cbef6,Oakland Unified School District,D1
312,5f2bca21ba0be61b0c1cbf09,Fairfield-Suisun Unified School District,D1
318,5f2bca21ba0be61b0c1cbf43,Fairfield-Suisun Unified School District,D1
321,5f2bca21ba0be61b0c1cbf66,LAUSD,D1
328,5f2bca21ba0be61b0c1cbfb9,LAUSD,D1
332,5f2bca21ba0be61b0c1cbfe9,Oakland Unified School District,D1
334,5f2bca21ba0be61b0c1cc008,Chula Vista Elementary School District,D1
339,5f2bca21ba0be61b0c1cc081,LAUSD,D1
343,5f2bca22ba0be61b0c1cc0bb,Oakland Unified School District,D1
344,5f2bca22ba0be61b0c1cc0ce,Chula Vista Elementary School District,D1
347,5f2bca22ba0be61b0c1cc0fa,Oakland Unified School District,D1
349,5f2bca22ba0be61b0c1cc11c,Goleta District,D1
350,5f2bca22ba0be61b0c1cc134,LAUSD,D1
352,5f2bca22ba0be61b0c1cc158,LAUSD,D1
354,5f2bca22ba0be61b0c1cc172,LAUSD,D1
356,5f2bca22ba0be61b0c1cc186,LAUSD,D1
357,5f2bca22ba0be61b0c1cc18c,Goleta District,D1
358,5f2bca22ba0be61b0c1cc191,Oakland Unified School District,D1
359,5f2bca22ba0be61b0c1cc1a4,Oakland Unified School District,D1
361,5f2bca22ba0be61b0c1cc1c2,Oakland Unified School District,D1
