,_id,CATEGORY,DASH_CATEGORY
173,5f2bca20ba0be61b0c1cb927,LAUSD,lifetime
373,5f2bca22ba0be61b0c1cc1f0,LAUSD,lifetime
483,5f2bca23ba0be61b0c1cc6a1,Mt. Lebanon School District,lifetime
540,5f2bca25ba0be61b0c1cc968,NULL,lifetime
629,5f2bca26ba0be61b0c1ccd53,NULL,lifetime
801,5f2bca29ba0be61b0c1cd65b,NULL,lifetime
1062,5f2bca30ba0be61b0c1cece9,Hillsborough County,lifetime
1370,5f2bca32ba0be61b0c1cf592,Hillsborough County,lifetime
1512,5f2bca33ba0be61b0c1cf91e,Hillsborough County,lifetime
1521,5f2bca33ba0be61b0c1cf93e,Pinellas County Schools,lifetime
1698,5f2bca37ba0be61b0c1d06ea,NULL,lifetime
1747,5f2bca39ba0be61b0c1d0e99,NULL,lifetime
1871,5f2bca46ba0be61b0c1d3676,NULL,lifetime
1909,5f2bca46ba0be61b0c1d3847,NULL,lifetime
2022,5f2bca4bba0be61b0c1d4515,BLUE,lifetime
2417,5f2bca6bba0be61b0c1d9bc6,NULL,lifetime
2619,5f2bca73ba0be61b0c1daba9,OHIO,lifetime
2704,5f2bca79ba0be61b0c1dc33a,Mt. Lebanon School District,lifetime
2705,5f2bca79ba0be61b0c1dc38b,Mt. Lebanon School District,lifetime
2710,5f2bca79ba0be61b0c1dc4d3,Mt. Lebanon School District,lifetime
2713,5f2bca79ba0be61b0c1dc52d,Mt. Lebanon School District,lifetime
2715,5f2bca79ba0be61b0c1dc5ae,Mt. Lebanon School District,lifetime
2734,5f2bca7aba0be61b0c1dca0d,Mt. Lebanon School District,lifetime
2861,5f2bca90ba0be61b0c1dee74,NULL,lifetime
3380,5f2bcad6ba0be61b0c1e98da,NULL,lifetime
3415,5f2bcad6ba0be61b0c1e9949,NULL,lifetime
3433,5f2bcad7ba0be61b0c1e9978,NULL,lifetime
3435,5f2bcad7ba0be61b0c1e997d,Mt. Lebanon School District,lifetime
3572,5f2bcad7ba0be61b0c1e9a3b,NULL,lifetime
3587,5f2bcad7ba0be61b0c1e9a4c,NULL,lifetime
3602,5f2bcad7ba0be61b0c1e9a63,NULL,lifetime
3614,5f2bcad7ba0be61b0c1e9a6f,NULL,lifetime
3615,5f2bcad7ba0be61b0c1e9a70,NULL,lifetime
3648,5f2bcad7ba0be61b0c1e9a94,BLUE,lifetime
5117,600ef7de6397ad0d0cd6b75e,,lifetime
