,0
0,5f2bca13ba0be61b0c1ca190
1,5f2bca14ba0be61b0c1ca4d0
2,5f2bca16ba0be61b0c1ca58d
3,5f2bca16ba0be61b0c1ca652
4,5f2bca16ba0be61b0c1ca6cb
5,5f2bca18ba0be61b0c1cab41
6,5f2bca1aba0be61b0c1cad64
7,5f2bca1aba0be61b0c1cad90
8,5f2bca1aba0be61b0c1caefa
9,5f2bca1aba0be61b0c1caf19
10,5f2bca1aba0be61b0c1cb0a7
11,5f2bca1cba0be61b0c1cb19d
12,5f2bca1cba0be61b0c1cb224
13,5f2bca1fba0be61b0c1cb65a
14,5f2bca1fba0be61b0c1cb662
15,5f2bca1fba0be61b0c1cb752
16,5f2bca1fba0be61b0c1cb75a
17,5f2bca1fba0be61b0c1cb7bf
18,5f2bca1fba0be61b0c1cb7d6
19,5f2bca1fba0be61b0c1cb7d9
20,5f2bca1fba0be61b0c1cb80e
21,5f2bca1fba0be61b0c1cb844
22,5f2bca1fba0be61b0c1cb87d
23,5f2bca1fba0be61b0c1cb8a0
24,5f2bca20ba0be61b0c1cb95e
25,5f2bca20ba0be61b0c1cb98b
26,5f2bca20ba0be61b0c1cb9bc
27,5f2bca20ba0be61b0c1cb9d6
28,5f2bca20ba0be61b0c1cba06
29,5f2bca20ba0be61b0c1cba12
30,5f2bca20ba0be61b0c1cba19
31,5f2bca20ba0be61b0c1cba42
32,5f2bca20ba0be61b0c1cba45
33,5f2bca20ba0be61b0c1cba99
34,5f2bca20ba0be61b0c1cbad8
35,5f2bca20ba0be61b0c1cbafd
36,5f2bca20ba0be61b0c1cbb47
37,5f2bca20ba0be61b0c1cbb78
38,5f2bca20ba0be61b0c1cbb8e
39,5f2bca20ba0be61b0c1cbbdc
40,5f2bca20ba0be61b0c1cbbdf
41,5f2bca20ba0be61b0c1cbc36
42,5f2bca20ba0be61b0c1cbc77
43,5f2bca21ba0be61b0c1cbd56
44,5f2bca21ba0be61b0c1cbde0
45,5f2bca21ba0be61b0c1cbde9
46,5f2bca21ba0be61b0c1cbe0e
47,5f2bca21ba0be61b0c1cbe69
48,5f2bca21ba0be61b0c1cbe77
49,5f2bca21ba0be61b0c1cbe81
50,5f2bca21ba0be61b0c1cbec6
51,5f2bca21ba0be61b0c1cbef4
52,5f2bca21ba0be61b0c1cbf39
53,5f2bca21ba0be61b0c1cbf44
54,5f2bca21ba0be61b0c1cbf48
55,5f2bca21ba0be61b0c1cbf6d
56,5f2bca21ba0be61b0c1cbfa0
57,5f2bca21ba0be61b0c1cc041
58,5f2bca21ba0be61b0c1cc097
59,5f2bca22ba0be61b0c1cc0d1
60,5f2bca22ba0be61b0c1cc247
61,5f2bca22ba0be61b0c1cc276
62,5f2bca22ba0be61b0c1cc27b
63,5f2bca22ba0be61b0c1cc28a
64,5f2bca22ba0be61b0c1cc2f1
65,5f2bca22ba0be61b0c1cc31e
66,5f2bca22ba0be61b0c1cc343
67,5f2bca22ba0be61b0c1cc3c8
68,5f2bca22ba0be61b0c1cc3e4
69,5f2bca22ba0be61b0c1cc43f
70,5f2bca22ba0be61b0c1cc468
71,5f2bca22ba0be61b0c1cc47c
72,5f2bca23ba0be61b0c1cc4cc
73,5f2bca23ba0be61b0c1cc53b
74,5f2bca23ba0be61b0c1cc59e
75,5f2bca23ba0be61b0c1cc5a0
76,5f2bca23ba0be61b0c1cc5af
77,5f2bca23ba0be61b0c1cc5c5
78,5f2bca23ba0be61b0c1cc5d7
79,5f2bca23ba0be61b0c1cc748
80,5f2bca23ba0be61b0c1cc761
81,5f2bca23ba0be61b0c1cc763
82,5f2bca23ba0be61b0c1cc77b
83,5f2bca23ba0be61b0c1cc79f
84,5f2bca23ba0be61b0c1cc7ad
85,5f2bca24ba0be61b0c1cc7d7
86,5f2bca24ba0be61b0c1cc81b
87,5f2bca24ba0be61b0c1cc836
88,5f2bca25ba0be61b0c1cc8a9
89,5f2bca25ba0be61b0c1cc8f3
90,5f2bca25ba0be61b0c1cc9a2
91,5f2bca25ba0be61b0c1cc9a7
92,5f2bca25ba0be61b0c1cca2e
93,5f2bca25ba0be61b0c1cca62
94,5f2bca25ba0be61b0c1ccacf
95,5f2bca25ba0be61b0c1ccb62
96,5f2bca25ba0be61b0c1ccb75
97,5f2bca25ba0be61b0c1ccb78
98,5f2bca25ba0be61b0c1ccb7c
99,5f2bca25ba0be61b0c1ccb8d
100,5f2bca25ba0be61b0c1ccb99
101,5f2bca25ba0be61b0c1ccba4
102,5f2bca25ba0be61b0c1ccbb1
103,5f2bca25ba0be61b0c1ccbcb
104,5f2bca26ba0be61b0c1ccc7a
105,5f2bca26ba0be61b0c1ccc8b
106,5f2bca26ba0be61b0c1cccbd
107,5f2bca26ba0be61b0c1cccc6
108,5f2bca26ba0be61b0c1cccc7
109,5f2bca26ba0be61b0c1ccd13
110,5f2bca26ba0be61b0c1ccd3d
111,5f2bca26ba0be61b0c1ccd60
112,5f2bca26ba0be61b0c1cced1
113,5f2bca26ba0be61b0c1ccf46
114,5f2bca26ba0be61b0c1ccf82
115,5f2bca26ba0be61b0c1ccf99
116,5f2bca26ba0be61b0c1ccfb0
117,5f2bca26ba0be61b0c1ccfc8
118,5f2bca26ba0be61b0c1ccfd5
119,5f2bca27ba0be61b0c1cd0b1
120,5f2bca27ba0be61b0c1cd0cb
121,5f2bca27ba0be61b0c1cd0d9
122,5f2bca27ba0be61b0c1cd116
123,5f2bca27ba0be61b0c1cd18b
124,5f2bca27ba0be61b0c1cd1be
125,5f2bca27ba0be61b0c1cd1c0
126,5f2bca27ba0be61b0c1cd20e
127,5f2bca27ba0be61b0c1cd215
128,5f2bca27ba0be61b0c1cd224
129,5f2bca27ba0be61b0c1cd256
130,5f2bca27ba0be61b0c1cd2a5
131,5f2bca27ba0be61b0c1cd2c3
132,5f2bca27ba0be61b0c1cd2d7
133,5f2bca27ba0be61b0c1cd2e9
134,5f2bca27ba0be61b0c1cd421
135,5f2bca28ba0be61b0c1cd44d
136,5f2bca28ba0be61b0c1cd4d0
137,5f2bca28ba0be61b0c1cd505
138,5f2bca28ba0be61b0c1cd551
139,5f2bca29ba0be61b0c1cd567
140,5f2bca29ba0be61b0c1cd619
141,5f2bca29ba0be61b0c1cd61b
142,5f2bca29ba0be61b0c1cd69a
143,5f2bca29ba0be61b0c1cd6b3
144,5f2bca29ba0be61b0c1cd6cf
145,5f2bca29ba0be61b0c1cd6de
146,5f2bca29ba0be61b0c1cd6e5
147,5f2bca29ba0be61b0c1cd6f0
148,5f2bca29ba0be61b0c1cd70b
149,5f2bca29ba0be61b0c1cd75b
150,5f2bca29ba0be61b0c1cd78d
151,5f2bca29ba0be61b0c1cd7c2
152,5f2bca2aba0be61b0c1cd84e
153,5f2bca2aba0be61b0c1cd8ac
154,5f2bca2aba0be61b0c1cd97c
155,5f2bca2aba0be61b0c1cd97d
156,5f2bca2aba0be61b0c1cd981
157,5f2bca2aba0be61b0c1cd9e5
158,5f2bca2aba0be61b0c1cdaca
159,5f2bca2aba0be61b0c1cdae0
160,5f2bca2aba0be61b0c1cdaf2
161,5f2bca2aba0be61b0c1cdafd
162,5f2bca2aba0be61b0c1cdb27
163,5f2bca2aba0be61b0c1cdb3c
164,5f2bca2aba0be61b0c1cdb53
165,5f2bca2aba0be61b0c1cdb87
166,5f2bca2aba0be61b0c1cdb9d
167,5f2bca2aba0be61b0c1cdc04
168,5f2bca2cba0be61b0c1cdc50
169,5f2bca2cba0be61b0c1cdc62
170,5f2bca2cba0be61b0c1cdceb
171,5f2bca2cba0be61b0c1cdd1a
172,5f2bca2cba0be61b0c1cdd41
173,5f2bca2cba0be61b0c1cdd75
174,5f2bca2cba0be61b0c1cddef
175,5f2bca2cba0be61b0c1cddf0
176,5f2bca2cba0be61b0c1cddf9
177,5f2bca2cba0be61b0c1cde00
178,5f2bca2cba0be61b0c1cde9e
179,5f2bca2cba0be61b0c1cded8
180,5f2bca2cba0be61b0c1cdef8
181,5f2bca2cba0be61b0c1cdf78
182,5f2bca2cba0be61b0c1cdf90
183,5f2bca2cba0be61b0c1cdfb4
184,5f2bca2dba0be61b0c1ce050
185,5f2bca2dba0be61b0c1ce1c2
186,5f2bca2dba0be61b0c1ce288
187,5f2bca2dba0be61b0c1ce313
188,5f2bca2eba0be61b0c1ce3fe
189,5f2bca2eba0be61b0c1ce4c4
190,5f2bca2eba0be61b0c1ce655
191,5f2bca2eba0be61b0c1ce701
192,5f2bca2fba0be61b0c1ce840
193,5f2bca2fba0be61b0c1ce9bc
194,5f2bca2fba0be61b0c1ce9d9
195,5f2bca2fba0be61b0c1cea03
196,5f2bca2fba0be61b0c1ceaf5
197,5f2bca2fba0be61b0c1ceb39
198,5f2bca2fba0be61b0c1cebad
199,5f2bca30ba0be61b0c1cecc6
200,5f2bca30ba0be61b0c1cece6
201,5f2bca30ba0be61b0c1cecf0
202,5f2bca30ba0be61b0c1ced00
203,5f2bca30ba0be61b0c1ced02
204,5f2bca30ba0be61b0c1ced57
205,5f2bca30ba0be61b0c1ced5d
206,5f2bca30ba0be61b0c1ced88
207,5f2bca30ba0be61b0c1cedd1
208,5f2bca30ba0be61b0c1cedd4
209,5f2bca30ba0be61b0c1cef0a
210,5f2bca31ba0be61b0c1cf135
211,5f2bca31ba0be61b0c1cf331
212,5f2bca31ba0be61b0c1cf358
213,5f2bca31ba0be61b0c1cf361
214,5f2bca32ba0be61b0c1cf4b2
215,5f2bca32ba0be61b0c1cf586
216,5f2bca32ba0be61b0c1cf5a4
217,5f2bca32ba0be61b0c1cf5ba
218,5f2bca32ba0be61b0c1cf5db
219,5f2bca32ba0be61b0c1cf63a
220,5f2bca32ba0be61b0c1cf652
221,5f2bca32ba0be61b0c1cf720
222,5f2bca32ba0be61b0c1cf74a
