,0
0,5f2bca14ba0be61b0c1ca400
1,5f2bca14ba0be61b0c1ca4bb
2,5f2bca14ba0be61b0c1ca4f9
3,5f2bca14ba0be61b0c1ca50c
4,5f2bca16ba0be61b0c1ca565
5,5f2bca16ba0be61b0c1ca648
6,5f2bca16ba0be61b0c1ca7c8
7,5f2bca16ba0be61b0c1ca7f9
8,5f2bca16ba0be61b0c1ca801
9,5f2bca16ba0be61b0c1ca860
10,5f2bca18ba0be61b0c1ca977
11,5f2bca18ba0be61b0c1caa55
12,5f2bca18ba0be61b0c1caa9b
13,5f2bca18ba0be61b0c1caaaa
14,5f2bca18ba0be61b0c1cab22
15,5f2bca18ba0be61b0c1cabc9
16,5f2bca1aba0be61b0c1cae19
17,5f2bca1aba0be61b0c1cae8b
18,5f2bca1aba0be61b0c1caec8
19,5f2bca1aba0be61b0c1cb0cd
20,5f2bca1cba0be61b0c1cb253
21,5f2bca1cba0be61b0c1cb292
22,5f2bca1cba0be61b0c1cb2b5
23,5f2bca1dba0be61b0c1cb2d5
24,5f2bca1dba0be61b0c1cb3a1
25,5f2bca1dba0be61b0c1cb4f6
26,5f2bca1fba0be61b0c1cb54e
27,5f2bca1fba0be61b0c1cb555
28,5f2bca1fba0be61b0c1cb5db
29,5f2bca1fba0be61b0c1cb742
30,5f2bca1fba0be61b0c1cb763
31,5f2bca1fba0be61b0c1cb764
32,5f2bca1fba0be61b0c1cb78b
33,5f2bca1fba0be61b0c1cb794
34,5f2bca1fba0be61b0c1cb79a
35,5f2bca1fba0be61b0c1cb7b6
36,5f2bca1fba0be61b0c1cb7bd
37,5f2bca1fba0be61b0c1cb7c2
38,5f2bca1fba0be61b0c1cb7c3
39,5f2bca1fba0be61b0c1cb7e0
40,5f2bca1fba0be61b0c1cb7e1
41,5f2bca1fba0be61b0c1cb7e3
42,5f2bca1fba0be61b0c1cb7e5
43,5f2bca1fba0be61b0c1cb7e6
44,5f2bca1fba0be61b0c1cb7e8
45,5f2bca1fba0be61b0c1cb802
46,5f2bca1fba0be61b0c1cb831
47,5f2bca1fba0be61b0c1cb832
48,5f2bca1fba0be61b0c1cb85b
49,5f2bca1fba0be61b0c1cb866
50,5f2bca1fba0be61b0c1cb87e
51,5f2bca1fba0be61b0c1cb884
52,5f2bca1fba0be61b0c1cb8d3
53,5f2bca1fba0be61b0c1cb8dd
54,5f2bca20ba0be61b0c1cb8ed
55,5f2bca20ba0be61b0c1cb8f5
56,5f2bca20ba0be61b0c1cb90a
57,5f2bca20ba0be61b0c1cb921
58,5f2bca20ba0be61b0c1cb927
59,5f2bca20ba0be61b0c1cb93c
60,5f2bca20ba0be61b0c1cb946
61,5f2bca20ba0be61b0c1cb94d
62,5f2bca20ba0be61b0c1cb94e
63,5f2bca20ba0be61b0c1cb955
64,5f2bca20ba0be61b0c1cb963
65,5f2bca20ba0be61b0c1cb964
66,5f2bca20ba0be61b0c1cb992
67,5f2bca20ba0be61b0c1cb993
68,5f2bca20ba0be61b0c1cb9b4
69,5f2bca20ba0be61b0c1cb9ba
70,5f2bca20ba0be61b0c1cb9d9
71,5f2bca20ba0be61b0c1cb9e9
72,5f2bca20ba0be61b0c1cb9ee
73,5f2bca20ba0be61b0c1cb9f3
74,5f2bca20ba0be61b0c1cba09
75,5f2bca20ba0be61b0c1cba3b
76,5f2bca20ba0be61b0c1cba6d
77,5f2bca20ba0be61b0c1cba7d
78,5f2bca20ba0be61b0c1cbab4
79,5f2bca20ba0be61b0c1cbaba
80,5f2bca20ba0be61b0c1cbabc
81,5f2bca20ba0be61b0c1cbabd
82,5f2bca20ba0be61b0c1cbac2
83,5f2bca20ba0be61b0c1cbac7
84,5f2bca20ba0be61b0c1cbadf
85,5f2bca20ba0be61b0c1cbaec
86,5f2bca20ba0be61b0c1cbafe
87,5f2bca20ba0be61b0c1cbb00
88,5f2bca20ba0be61b0c1cbb2b
89,5f2bca20ba0be61b0c1cbb42
90,5f2bca20ba0be61b0c1cbb62
91,5f2bca20ba0be61b0c1cbb67
92,5f2bca20ba0be61b0c1cbb71
93,5f2bca20ba0be61b0c1cbb81
94,5f2bca20ba0be61b0c1cbbc3
95,5f2bca20ba0be61b0c1cbbda
96,5f2bca20ba0be61b0c1cbbdd
97,5f2bca20ba0be61b0c1cbbde
98,5f2bca20ba0be61b0c1cbbe1
99,5f2bca20ba0be61b0c1cbbfd
100,5f2bca20ba0be61b0c1cbc0e
101,5f2bca20ba0be61b0c1cbc3c
102,5f2bca20ba0be61b0c1cbc42
103,5f2bca20ba0be61b0c1cbc43
104,5f2bca20ba0be61b0c1cbc58
105,5f2bca20ba0be61b0c1cbc60
106,5f2bca20ba0be61b0c1cbc61
107,5f2bca20ba0be61b0c1cbc62
108,5f2bca20ba0be61b0c1cbc69
109,5f2bca20ba0be61b0c1cbc72
110,5f2bca20ba0be61b0c1cbc82
111,5f2bca20ba0be61b0c1cbc83
112,5f2bca20ba0be61b0c1cbc86
113,5f2bca20ba0be61b0c1cbcb9
114,5f2bca21ba0be61b0c1cbcd4
115,5f2bca21ba0be61b0c1cbcef
116,5f2bca21ba0be61b0c1cbd10
117,5f2bca21ba0be61b0c1cbd18
118,5f2bca21ba0be61b0c1cbd27
119,5f2bca21ba0be61b0c1cbd2e
120,5f2bca21ba0be61b0c1cbd50
121,5f2bca21ba0be61b0c1cbd56
122,5f2bca21ba0be61b0c1cbd6e
123,5f2bca21ba0be61b0c1cbd74
124,5f2bca21ba0be61b0c1cbd75
125,5f2bca21ba0be61b0c1cbd77
126,5f2bca21ba0be61b0c1cbd7a
127,5f2bca21ba0be61b0c1cbd86
128,5f2bca21ba0be61b0c1cbda8
129,5f2bca21ba0be61b0c1cbdae
130,5f2bca21ba0be61b0c1cbdb4
131,5f2bca21ba0be61b0c1cbdb8
132,5f2bca21ba0be61b0c1cbdbd
133,5f2bca21ba0be61b0c1cbde8
134,5f2bca21ba0be61b0c1cbdf5
135,5f2bca21ba0be61b0c1cbe31
136,5f2bca21ba0be61b0c1cbe3d
137,5f2bca21ba0be61b0c1cbe4a
138,5f2bca21ba0be61b0c1cbe4c
139,5f2bca21ba0be61b0c1cbe64
140,5f2bca21ba0be61b0c1cbe6f
141,5f2bca21ba0be61b0c1cbe89
142,5f2bca21ba0be61b0c1cbe93
143,5f2bca21ba0be61b0c1cbeca
144,5f2bca21ba0be61b0c1cbecb
145,5f2bca21ba0be61b0c1cbed4
146,5f2bca21ba0be61b0c1cbed8
147,5f2bca21ba0be61b0c1cbedf
148,5f2bca21ba0be61b0c1cbef6
149,5f2bca21ba0be61b0c1cbf09
150,5f2bca21ba0be61b0c1cbf0c
151,5f2bca21ba0be61b0c1cbf16
152,5f2bca21ba0be61b0c1cbf43
153,5f2bca21ba0be61b0c1cbf66
154,5f2bca21ba0be61b0c1cbf70
155,5f2bca21ba0be61b0c1cbf78
156,5f2bca21ba0be61b0c1cbfa9
157,5f2bca21ba0be61b0c1cbfb9
158,5f2bca21ba0be61b0c1cbfc7
159,5f2bca21ba0be61b0c1cbfd8
160,5f2bca21ba0be61b0c1cbfe0
161,5f2bca21ba0be61b0c1cbfe9
162,5f2bca21ba0be61b0c1cbffc
163,5f2bca21ba0be61b0c1cc008
164,5f2bca21ba0be61b0c1cc05e
165,5f2bca21ba0be61b0c1cc081
166,5f2bca22ba0be61b0c1cc0bb
167,5f2bca22ba0be61b0c1cc0ce
168,5f2bca22ba0be61b0c1cc0e0
169,5f2bca22ba0be61b0c1cc0ed
170,5f2bca22ba0be61b0c1cc0fa
171,5f2bca22ba0be61b0c1cc0fc
172,5f2bca22ba0be61b0c1cc10a
173,5f2bca22ba0be61b0c1cc117
174,5f2bca22ba0be61b0c1cc11c
175,5f2bca22ba0be61b0c1cc134
176,5f2bca22ba0be61b0c1cc158
177,5f2bca22ba0be61b0c1cc172
178,5f2bca22ba0be61b0c1cc186
179,5f2bca22ba0be61b0c1cc18c
180,5f2bca22ba0be61b0c1cc191
181,5f2bca22ba0be61b0c1cc1a4
182,5f2bca22ba0be61b0c1cc1b0
183,5f2bca22ba0be61b0c1cc1b6
