,0
0,5f2bca14ba0be61b0c1ca4d0
1,5f2bca16ba0be61b0c1ca58d
2,5f2bca16ba0be61b0c1ca5a8
3,5f2bca16ba0be61b0c1ca652
4,5f2bca16ba0be61b0c1ca6cb
5,5f2bca18ba0be61b0c1cab41
6,5f2bca1aba0be61b0c1cad64
7,5f2bca1aba0be61b0c1cad90
8,5f2bca1aba0be61b0c1caefa
9,5f2bca1aba0be61b0c1caf03
10,5f2bca1aba0be61b0c1caf19
11,5f2bca1aba0be61b0c1cb0a7
12,5f2bca1cba0be61b0c1cb19d
13,5f2bca1cba0be61b0c1cb224
14,5f2bca1fba0be61b0c1cb65a
15,5f2bca1fba0be61b0c1cb662
16,5f2bca1fba0be61b0c1cb752
17,5f2bca1fba0be61b0c1cb75a
18,5f2bca1fba0be61b0c1cb7d6
19,5f2bca1fba0be61b0c1cb7d9
20,5f2bca1fba0be61b0c1cb80e
21,5f2bca1fba0be61b0c1cb844
22,5f2bca1fba0be61b0c1cb87d
23,5f2bca1fba0be61b0c1cb8a0
24,5f2bca20ba0be61b0c1cb95e
25,5f2bca20ba0be61b0c1cb9bc
26,5f2bca20ba0be61b0c1cb9d6
27,5f2bca20ba0be61b0c1cba06
28,5f2bca20ba0be61b0c1cba19
29,5f2bca20ba0be61b0c1cba42
30,5f2bca20ba0be61b0c1cba45
31,5f2bca20ba0be61b0c1cba99
32,5f2bca20ba0be61b0c1cbad8
33,5f2bca20ba0be61b0c1cbafd
34,5f2bca20ba0be61b0c1cbb47
35,5f2bca20ba0be61b0c1cbb8e
36,5f2bca20ba0be61b0c1cbbdc
37,5f2bca20ba0be61b0c1cbbdf
38,5f2bca21ba0be61b0c1cbde9
39,5f2bca21ba0be61b0c1cbe0e
40,5f2bca21ba0be61b0c1cbe69
41,5f2bca21ba0be61b0c1cbe77
42,5f2bca21ba0be61b0c1cbe81
43,5f2bca21ba0be61b0c1cbec6
44,5f2bca21ba0be61b0c1cbf30
45,5f2bca21ba0be61b0c1cbf39
46,5f2bca21ba0be61b0c1cbf44
47,5f2bca21ba0be61b0c1cbf6d
48,5f2bca21ba0be61b0c1cbfa0
49,5f2bca21ba0be61b0c1cc041
50,5f2bca21ba0be61b0c1cc097
51,5f2bca22ba0be61b0c1cc247
52,5f2bca22ba0be61b0c1cc28a
53,5f2bca22ba0be61b0c1cc2f1
54,5f2bca22ba0be61b0c1cc343
55,5f2bca22ba0be61b0c1cc3c8
56,5f2bca22ba0be61b0c1cc47c
57,5f2bca23ba0be61b0c1cc53b
58,5f2bca23ba0be61b0c1cc5a0
59,5f2bca23ba0be61b0c1cc5af
60,5f2bca23ba0be61b0c1cc5d7
61,5f2bca23ba0be61b0c1cc748
62,5f2bca23ba0be61b0c1cc761
63,5f2bca23ba0be61b0c1cc763
64,5f2bca23ba0be61b0c1cc79f
65,5f2bca24ba0be61b0c1cc7d7
66,5f2bca24ba0be61b0c1cc81b
67,5f2bca24ba0be61b0c1cc836
68,5f2bca25ba0be61b0c1cc8a9
69,5f2bca25ba0be61b0c1cc8f3
70,5f2bca25ba0be61b0c1cc9a2
71,5f2bca25ba0be61b0c1cc9a7
72,5f2bca25ba0be61b0c1cca2e
73,5f2bca25ba0be61b0c1cca62
74,5f2bca25ba0be61b0c1ccacf
75,5f2bca25ba0be61b0c1ccb75
76,5f2bca25ba0be61b0c1ccb7c
77,5f2bca25ba0be61b0c1ccb8d
78,5f2bca25ba0be61b0c1ccb99
79,5f2bca25ba0be61b0c1ccba4
80,5f2bca25ba0be61b0c1ccbb1
81,5f2bca25ba0be61b0c1ccbcb
82,5f2bca26ba0be61b0c1ccc7a
83,5f2bca26ba0be61b0c1ccc8b
84,5f2bca26ba0be61b0c1ccc95
85,5f2bca26ba0be61b0c1cccbd
86,5f2bca26ba0be61b0c1cccc6
87,5f2bca26ba0be61b0c1cccc7
88,5f2bca26ba0be61b0c1ccd13
89,5f2bca26ba0be61b0c1ccd3d
90,5f2bca26ba0be61b0c1ccd60
91,5f2bca26ba0be61b0c1cceae
92,5f2bca26ba0be61b0c1cced1
93,5f2bca26ba0be61b0c1ccf46
94,5f2bca26ba0be61b0c1ccf99
95,5f2bca26ba0be61b0c1ccfb0
96,5f2bca26ba0be61b0c1ccfd5
97,5f2bca27ba0be61b0c1cd0b1
98,5f2bca27ba0be61b0c1cd0cb
99,5f2bca27ba0be61b0c1cd0d9
100,5f2bca27ba0be61b0c1cd18b
101,5f2bca27ba0be61b0c1cd1be
102,5f2bca27ba0be61b0c1cd1c0
103,5f2bca27ba0be61b0c1cd20e
104,5f2bca27ba0be61b0c1cd224
105,5f2bca27ba0be61b0c1cd256
106,5f2bca27ba0be61b0c1cd2a5
107,5f2bca27ba0be61b0c1cd2c3
108,5f2bca27ba0be61b0c1cd2d7
109,5f2bca27ba0be61b0c1cd2e9
110,5f2bca27ba0be61b0c1cd421
111,5f2bca28ba0be61b0c1cd44d
112,5f2bca28ba0be61b0c1cd4d0
113,5f2bca28ba0be61b0c1cd505
114,5f2bca28ba0be61b0c1cd551
115,5f2bca29ba0be61b0c1cd567
116,5f2bca29ba0be61b0c1cd619
117,5f2bca29ba0be61b0c1cd61b
118,5f2bca29ba0be61b0c1cd69a
119,5f2bca29ba0be61b0c1cd6b3
120,5f2bca29ba0be61b0c1cd6cf
121,5f2bca29ba0be61b0c1cd6de
122,5f2bca29ba0be61b0c1cd6e5
123,5f2bca29ba0be61b0c1cd6f0
124,5f2bca29ba0be61b0c1cd70b
125,5f2bca29ba0be61b0c1cd75b
126,5f2bca29ba0be61b0c1cd7c2
127,5f2bca2aba0be61b0c1cd8ac
128,5f2bca2aba0be61b0c1cd97c
129,5f2bca2aba0be61b0c1cd97d
