,0
0,5f2bca14ba0be61b0c1ca400
1,5f2bca14ba0be61b0c1ca4bb
2,5f2bca14ba0be61b0c1ca50c
3,5f2bca16ba0be61b0c1ca565
4,5f2bca16ba0be61b0c1ca648
5,5f2bca18ba0be61b0c1caa55
6,5f2bca18ba0be61b0c1cabc9
7,5f2bca1aba0be61b0c1cae19
8,5f2bca1aba0be61b0c1cae8b
9,5f2bca1aba0be61b0c1caec8
10,5f2bca1aba0be61b0c1caf03
11,5f2bca1aba0be61b0c1cb0cd
12,5f2bca1cba0be61b0c1cb292
13,5f2bca1cba0be61b0c1cb2b5
14,5f2bca1dba0be61b0c1cb2d5
15,5f2bca1dba0be61b0c1cb3a1
16,5f2bca1fba0be61b0c1cb555
17,5f2bca1fba0be61b0c1cb5db
18,5f2bca1fba0be61b0c1cb742
19,5f2bca1fba0be61b0c1cb7e1
20,5f2bca1fba0be61b0c1cb7e6
21,5f2bca1fba0be61b0c1cb7e8
22,5f2bca1fba0be61b0c1cb884
23,5f2bca20ba0be61b0c1cb8ed
24,5f2bca20ba0be61b0c1cb946
25,5f2bca20ba0be61b0c1cb992
26,5f2bca20ba0be61b0c1cb998
27,5f2bca20ba0be61b0c1cb9ba
28,5f2bca20ba0be61b0c1cb9e9
29,5f2bca20ba0be61b0c1cba6d
30,5f2bca20ba0be61b0c1cba7d
31,5f2bca20ba0be61b0c1cbabc
32,5f2bca20ba0be61b0c1cbaec
33,5f2bca20ba0be61b0c1cbb71
34,5f2bca20ba0be61b0c1cbb81
35,5f2bca20ba0be61b0c1cbbdd
36,5f2bca20ba0be61b0c1cbc3c
37,5f2bca20ba0be61b0c1cbc60
38,5f2bca20ba0be61b0c1cbc69
39,5f2bca20ba0be61b0c1cbc83
40,5f2bca21ba0be61b0c1cbd77
41,5f2bca21ba0be61b0c1cbe93
42,5f2bca21ba0be61b0c1cbeca
43,5f2bca21ba0be61b0c1cbecb
44,5f2bca21ba0be61b0c1cbed4
45,5f2bca21ba0be61b0c1cbf70
46,5f2bca21ba0be61b0c1cbfa9
47,5f2bca21ba0be61b0c1cbfc7
48,5f2bca21ba0be61b0c1cc05e
49,5f2bca22ba0be61b0c1cc0e0
50,5f2bca22ba0be61b0c1cc1b6
51,5f2bca22ba0be61b0c1cc1e0
52,5f2bca22ba0be61b0c1cc20e
53,5f2bca22ba0be61b0c1cc21e
54,5f2bca22ba0be61b0c1cc2ef
55,5f2bca22ba0be61b0c1cc3bb
56,5f2bca23ba0be61b0c1cc4d3
57,5f2bca23ba0be61b0c1cc4d4
58,5f2bca23ba0be61b0c1cc4e3
59,5f2bca23ba0be61b0c1cc539
60,5f2bca23ba0be61b0c1cc551
61,5f2bca23ba0be61b0c1cc5f6
62,5f2bca23ba0be61b0c1cc619
63,5f2bca23ba0be61b0c1cc636
64,5f2bca23ba0be61b0c1cc63a
65,5f2bca23ba0be61b0c1cc65d
66,5f2bca23ba0be61b0c1cc688
67,5f2bca23ba0be61b0c1cc6b7
68,5f2bca23ba0be61b0c1cc783
69,5f2bca24ba0be61b0c1cc805
70,5f2bca24ba0be61b0c1cc871
71,5f2bca25ba0be61b0c1cc9fc
72,5f2bca25ba0be61b0c1ccba1
73,5f2bca25ba0be61b0c1ccba7
74,5f2bca25ba0be61b0c1ccbff
75,5f2bca25ba0be61b0c1ccc3d
76,5f2bca26ba0be61b0c1ccd0c
77,5f2bca26ba0be61b0c1ccd0e
78,5f2bca26ba0be61b0c1ccd82
79,5f2bca26ba0be61b0c1ccdf3
80,5f2bca26ba0be61b0c1cceaf
81,5f2bca26ba0be61b0c1cceb8
82,5f2bca26ba0be61b0c1ccf5e
83,5f2bca27ba0be61b0c1cd0ec
84,5f2bca27ba0be61b0c1cd139
85,5f2bca27ba0be61b0c1cd1d8
86,5f2bca27ba0be61b0c1cd291
87,5f2bca27ba0be61b0c1cd2a2
88,5f2bca27ba0be61b0c1cd2f6
89,5f2bca27ba0be61b0c1cd37a
90,5f2bca27ba0be61b0c1cd399
91,5f2bca27ba0be61b0c1cd3c0
92,5f2bca28ba0be61b0c1cd451
93,5f2bca28ba0be61b0c1cd4a9
94,5f2bca28ba0be61b0c1cd4b4
95,5f2bca28ba0be61b0c1cd4cf
96,5f2bca28ba0be61b0c1cd4e5
97,5f2bca29ba0be61b0c1cd5cb
98,5f2bca29ba0be61b0c1cd64c
99,5f2bca29ba0be61b0c1cd64f
100,5f2bca29ba0be61b0c1cd6f7
101,5f2bca29ba0be61b0c1cd71f
102,5f2bca29ba0be61b0c1cd725
103,5f2bca29ba0be61b0c1cd75a
104,5f2bca29ba0be61b0c1cd7ed
105,5f2bca2aba0be61b0c1cd8b2
106,5f2bca2aba0be61b0c1cd9ee
107,5f2bca2aba0be61b0c1cda0c
108,5f2bca2cba0be61b0c1cdc9b
109,5f2bca2cba0be61b0c1cdcb2
110,5f2bca2cba0be61b0c1cdcbf
111,5f2bca2cba0be61b0c1cddb4
112,5f2bca2cba0be61b0c1cddca
113,5f2bca2cba0be61b0c1cddcb
114,5f2bca2cba0be61b0c1cddcc
115,5f2bca2cba0be61b0c1cde1f
116,5f2bca2cba0be61b0c1cdee9
117,5f2bca2cba0be61b0c1cdfdd
118,5f2bca2cba0be61b0c1cdff5
119,5f2bca2dba0be61b0c1ce0c3
120,5f2bca2dba0be61b0c1ce0f9
121,5f2bca2dba0be61b0c1ce11d
122,5f2bca2dba0be61b0c1ce225
123,5f2bca2dba0be61b0c1ce279
124,5f2bca2dba0be61b0c1ce281
125,5f2bca2dba0be61b0c1ce2cd
126,5f2bca2dba0be61b0c1ce326
127,5f2bca2dba0be61b0c1ce338
128,5f2bca2dba0be61b0c1ce389
129,5f2bca2dba0be61b0c1ce3a5
130,5f2bca2eba0be61b0c1ce529
131,5f2bca2fba0be61b0c1ce8af
132,5f2bca2fba0be61b0c1ceaf6
133,5f2bca30ba0be61b0c1cec89
134,5f2bca30ba0be61b0c1ceca0
135,5f2bca30ba0be61b0c1ceca8
136,5f2bca30ba0be61b0c1ceccf
137,5f2bca30ba0be61b0c1cecdd
138,5f2bca30ba0be61b0c1cecff
139,5f2bca30ba0be61b0c1cedae
140,5f2bca30ba0be61b0c1ceebd
141,5f2bca30ba0be61b0c1ceeca
142,5f2bca31ba0be61b0c1cf172
143,5f2bca31ba0be61b0c1cf203
144,5f2bca31ba0be61b0c1cf263
145,5f2bca31ba0be61b0c1cf321
146,5f2bca31ba0be61b0c1cf332
147,5f2bca32ba0be61b0c1cf3a7
148,5f2bca32ba0be61b0c1cf5bb
149,5f2bca33ba0be61b0c1cf797
150,5f2bca33ba0be61b0c1cf7a7
151,5f2bca33ba0be61b0c1cf862
152,5f2bca33ba0be61b0c1cf864
153,5f2bca33ba0be61b0c1cface
154,5f2bca34ba0be61b0c1cfb6e
155,5f2bca34ba0be61b0c1cfb7b
156,5f2bca34ba0be61b0c1cfc62
157,5f2bca34ba0be61b0c1cfc80
158,5f2bca34ba0be61b0c1cfcad
159,5f2bca34ba0be61b0c1cfcc0
160,5f2bca35ba0be61b0c1cfe0d
161,5f2bca35ba0be61b0c1cfe3a
162,5f2bca35ba0be61b0c1cfe46
163,5f2bca35ba0be61b0c1cfe4c
164,5f2bca35ba0be61b0c1cfeab
165,5f2bca36ba0be61b0c1cffcd
166,5f2bca36ba0be61b0c1cffed
167,5f2bca36ba0be61b0c1d003c
168,5f2bca36ba0be61b0c1d0045
169,5f2bca36ba0be61b0c1d0094
170,5f2bca36ba0be61b0c1d00c7
171,5f2bca36ba0be61b0c1d00d9
172,5f2bca36ba0be61b0c1d0187
173,5f2bca36ba0be61b0c1d020e
174,5f2bca36ba0be61b0c1d0211
175,5f2bca36ba0be61b0c1d0289
176,5f2bca36ba0be61b0c1d02a0
177,5f2bca36ba0be61b0c1d02b6
178,5f2bca36ba0be61b0c1d02d8
179,5f2bca36ba0be61b0c1d02e2
180,5f2bca37ba0be61b0c1d0400
181,5f2bca37ba0be61b0c1d045a
182,5f2bca37ba0be61b0c1d04fe
183,5f2bca37ba0be61b0c1d0534
184,5f2bca37ba0be61b0c1d0574
185,5f2bca37ba0be61b0c1d0613
