,0
0,5f2bca14ba0be61b0c1ca400
1,5f2bca14ba0be61b0c1ca4bb
2,5f2bca14ba0be61b0c1ca4f9
3,5f2bca14ba0be61b0c1ca50c
4,5f2bca16ba0be61b0c1ca565
5,5f2bca16ba0be61b0c1ca576
6,5f2bca16ba0be61b0c1ca648
7,5f2bca16ba0be61b0c1ca860
8,5f2bca18ba0be61b0c1ca9b8
9,5f2bca18ba0be61b0c1caa55
10,5f2bca18ba0be61b0c1caa9b
11,5f2bca18ba0be61b0c1cab22
12,5f2bca18ba0be61b0c1cabc9
13,5f2bca1aba0be61b0c1cae19
14,5f2bca1aba0be61b0c1cae21
15,5f2bca1aba0be61b0c1cae8b
16,5f2bca1aba0be61b0c1caec8
17,5f2bca1aba0be61b0c1caf03
18,5f2bca1aba0be61b0c1cb0cd
19,5f2bca1cba0be61b0c1cb253
20,5f2bca1cba0be61b0c1cb292
21,5f2bca1cba0be61b0c1cb2b5
22,5f2bca1dba0be61b0c1cb2d5
23,5f2bca1dba0be61b0c1cb4f6
24,5f2bca1fba0be61b0c1cb54e
25,5f2bca1fba0be61b0c1cb555
26,5f2bca1fba0be61b0c1cb5db
27,5f2bca1fba0be61b0c1cb742
28,5f2bca1fba0be61b0c1cb764
29,5f2bca1fba0be61b0c1cb78b
30,5f2bca1fba0be61b0c1cb794
31,5f2bca1fba0be61b0c1cb79a
32,5f2bca1fba0be61b0c1cb7b6
33,5f2bca1fba0be61b0c1cb7bd
34,5f2bca1fba0be61b0c1cb7c2
35,5f2bca1fba0be61b0c1cb7c3
36,5f2bca1fba0be61b0c1cb7e0
37,5f2bca1fba0be61b0c1cb7e1
38,5f2bca1fba0be61b0c1cb7e3
39,5f2bca1fba0be61b0c1cb7e5
40,5f2bca1fba0be61b0c1cb7e6
41,5f2bca1fba0be61b0c1cb7e8
42,5f2bca1fba0be61b0c1cb802
43,5f2bca1fba0be61b0c1cb832
44,5f2bca1fba0be61b0c1cb85b
45,5f2bca1fba0be61b0c1cb866
46,5f2bca1fba0be61b0c1cb87e
47,5f2bca1fba0be61b0c1cb884
48,5f2bca1fba0be61b0c1cb8d3
49,5f2bca1fba0be61b0c1cb8dd
50,5f2bca20ba0be61b0c1cb8ed
51,5f2bca20ba0be61b0c1cb8f5
52,5f2bca20ba0be61b0c1cb90a
53,5f2bca20ba0be61b0c1cb921
54,5f2bca20ba0be61b0c1cb93c
55,5f2bca20ba0be61b0c1cb946
56,5f2bca20ba0be61b0c1cb94d
57,5f2bca20ba0be61b0c1cb94e
58,5f2bca20ba0be61b0c1cb955
59,5f2bca20ba0be61b0c1cb963
60,5f2bca20ba0be61b0c1cb964
61,5f2bca20ba0be61b0c1cb97d
62,5f2bca20ba0be61b0c1cb992
63,5f2bca20ba0be61b0c1cb993
64,5f2bca20ba0be61b0c1cb998
65,5f2bca20ba0be61b0c1cb9ba
66,5f2bca20ba0be61b0c1cb9d9
67,5f2bca20ba0be61b0c1cb9e9
68,5f2bca20ba0be61b0c1cb9ee
69,5f2bca20ba0be61b0c1cb9f3
70,5f2bca20ba0be61b0c1cba09
71,5f2bca20ba0be61b0c1cba3b
72,5f2bca20ba0be61b0c1cba41
73,5f2bca20ba0be61b0c1cba6d
74,5f2bca20ba0be61b0c1cba7d
75,5f2bca20ba0be61b0c1cbab4
76,5f2bca20ba0be61b0c1cbab6
77,5f2bca20ba0be61b0c1cbaba
78,5f2bca20ba0be61b0c1cbabc
79,5f2bca20ba0be61b0c1cbac7
80,5f2bca20ba0be61b0c1cbadf
81,5f2bca20ba0be61b0c1cbaec
82,5f2bca20ba0be61b0c1cbaf2
83,5f2bca20ba0be61b0c1cbafe
84,5f2bca20ba0be61b0c1cbb00
85,5f2bca20ba0be61b0c1cbb2b
86,5f2bca20ba0be61b0c1cbb42
87,5f2bca20ba0be61b0c1cbb62
88,5f2bca20ba0be61b0c1cbb67
89,5f2bca20ba0be61b0c1cbb71
90,5f2bca20ba0be61b0c1cbb81
91,5f2bca20ba0be61b0c1cbbc3
92,5f2bca20ba0be61b0c1cbbdd
93,5f2bca20ba0be61b0c1cbbde
94,5f2bca20ba0be61b0c1cbbe1
95,5f2bca20ba0be61b0c1cbbfd
96,5f2bca20ba0be61b0c1cbc0e
97,5f2bca20ba0be61b0c1cbc3c
98,5f2bca20ba0be61b0c1cbc42
99,5f2bca20ba0be61b0c1cbc43
100,5f2bca20ba0be61b0c1cbc58
101,5f2bca20ba0be61b0c1cbc60
102,5f2bca20ba0be61b0c1cbc61
103,5f2bca20ba0be61b0c1cbc62
104,5f2bca20ba0be61b0c1cbc69
105,5f2bca20ba0be61b0c1cbc72
106,5f2bca20ba0be61b0c1cbc7b
107,5f2bca20ba0be61b0c1cbc83
108,5f2bca20ba0be61b0c1cbc86
109,5f2bca20ba0be61b0c1cbcb9
110,5f2bca21ba0be61b0c1cbcd4
111,5f2bca21ba0be61b0c1cbcef
112,5f2bca21ba0be61b0c1cbd10
113,5f2bca21ba0be61b0c1cbd18
114,5f2bca21ba0be61b0c1cbd27
115,5f2bca21ba0be61b0c1cbd3d
116,5f2bca21ba0be61b0c1cbd50
117,5f2bca21ba0be61b0c1cbd6e
118,5f2bca21ba0be61b0c1cbd74
119,5f2bca21ba0be61b0c1cbd75
120,5f2bca21ba0be61b0c1cbd77
121,5f2bca21ba0be61b0c1cbd7a
122,5f2bca21ba0be61b0c1cbd86
123,5f2bca21ba0be61b0c1cbda8
124,5f2bca21ba0be61b0c1cbdae
125,5f2bca21ba0be61b0c1cbdb4
126,5f2bca21ba0be61b0c1cbdb8
127,5f2bca21ba0be61b0c1cbdbd
128,5f2bca21ba0be61b0c1cbdf5
129,5f2bca21ba0be61b0c1cbe31
130,5f2bca21ba0be61b0c1cbe3d
131,5f2bca21ba0be61b0c1cbe4a
132,5f2bca21ba0be61b0c1cbe4c
133,5f2bca21ba0be61b0c1cbe64
134,5f2bca21ba0be61b0c1cbe6f
135,5f2bca21ba0be61b0c1cbe89
136,5f2bca21ba0be61b0c1cbe93
137,5f2bca21ba0be61b0c1cbeca
138,5f2bca21ba0be61b0c1cbecb
139,5f2bca21ba0be61b0c1cbed4
140,5f2bca21ba0be61b0c1cbed8
141,5f2bca21ba0be61b0c1cbedf
142,5f2bca21ba0be61b0c1cbef6
143,5f2bca21ba0be61b0c1cbf09
144,5f2bca21ba0be61b0c1cbf43
145,5f2bca21ba0be61b0c1cbf66
146,5f2bca21ba0be61b0c1cbf70
147,5f2bca21ba0be61b0c1cbf78
148,5f2bca21ba0be61b0c1cbfa9
149,5f2bca21ba0be61b0c1cbfb9
150,5f2bca21ba0be61b0c1cbfc7
151,5f2bca21ba0be61b0c1cbfd8
152,5f2bca21ba0be61b0c1cbfe0
153,5f2bca21ba0be61b0c1cbfe9
154,5f2bca21ba0be61b0c1cbffc
155,5f2bca21ba0be61b0c1cc008
156,5f2bca21ba0be61b0c1cc05e
157,5f2bca22ba0be61b0c1cc0bb
158,5f2bca22ba0be61b0c1cc0ce
159,5f2bca22ba0be61b0c1cc0e0
160,5f2bca22ba0be61b0c1cc0ed
161,5f2bca22ba0be61b0c1cc0fa
162,5f2bca22ba0be61b0c1cc0fc
163,5f2bca22ba0be61b0c1cc10a
164,5f2bca22ba0be61b0c1cc11c
165,5f2bca22ba0be61b0c1cc158
166,5f2bca22ba0be61b0c1cc172
167,5f2bca22ba0be61b0c1cc186
168,5f2bca22ba0be61b0c1cc18c
169,5f2bca22ba0be61b0c1cc191
170,5f2bca22ba0be61b0c1cc1a4
171,5f2bca22ba0be61b0c1cc1b0
172,5f2bca22ba0be61b0c1cc1b6
173,5f2bca22ba0be61b0c1cc1c2
174,5f2bca22ba0be61b0c1cc1db
175,5f2bca22ba0be61b0c1cc1e0
176,5f2bca22ba0be61b0c1cc1eb
177,5f2bca22ba0be61b0c1cc1f1
178,5f2bca22ba0be61b0c1cc20e
179,5f2bca22ba0be61b0c1cc20f
180,5f2bca22ba0be61b0c1cc21e
181,5f2bca22ba0be61b0c1cc245
182,5f2bca22ba0be61b0c1cc25e
183,5f2bca22ba0be61b0c1cc27f
