,0
0,5f2bca14ba0be61b0c1ca23b
1,5f2bca14ba0be61b0c1ca273
2,5f2bca14ba0be61b0c1ca2a0
3,5f2bca14ba0be61b0c1ca2a6
4,5f2bca14ba0be61b0c1ca2a8
5,5f2bca14ba0be61b0c1ca405
6,5f2bca14ba0be61b0c1ca484
7,5f2bca14ba0be61b0c1ca4f0
8,5f2bca14ba0be61b0c1ca504
9,5f2bca16ba0be61b0c1ca598
10,5f2bca16ba0be61b0c1ca755
11,5f2bca16ba0be61b0c1ca7bc
12,5f2bca16ba0be61b0c1ca827
13,5f2bca16ba0be61b0c1ca853
14,5f2bca18ba0be61b0c1cab33
15,5f2bca18ba0be61b0c1cab81
16,5f2bca18ba0be61b0c1cac69
17,5f2bca18ba0be61b0c1cacbc
18,5f2bca18ba0be61b0c1cacbd
19,5f2bca1aba0be61b0c1cadfb
20,5f2bca1cba0be61b0c1cb2bf
21,5f2bca1dba0be61b0c1cb30e
22,5f2bca1dba0be61b0c1cb363
23,5f2bca1fba0be61b0c1cb50a
24,5f2bca1fba0be61b0c1cb607
25,5f2bca1fba0be61b0c1cb701
26,5f2bca20ba0be61b0c1cb93d
27,5f2bca20ba0be61b0c1cba18
28,5f2bca20ba0be61b0c1cba24
29,5f2bca20ba0be61b0c1cba2a
30,5f2bca20ba0be61b0c1cbb6f
31,5f2bca20ba0be61b0c1cbbab
32,5f2bca21ba0be61b0c1cbe0f
33,5f2bca21ba0be61b0c1cbf16
34,5f2bca21ba0be61b0c1cbfda
35,5f2bca22ba0be61b0c1cc2c3
36,5f2bca23ba0be61b0c1cc510
37,5f2bca23ba0be61b0c1cc51e
38,5f2bca23ba0be61b0c1cc62c
39,5f2bca23ba0be61b0c1cc691
40,5f2bca23ba0be61b0c1cc6b3
41,5f2bca25ba0be61b0c1cc9b4
42,5f2bca25ba0be61b0c1ccb0f
43,5f2bca25ba0be61b0c1ccc55
44,5f2bca26ba0be61b0c1cccd8
45,5f2bca26ba0be61b0c1cce50
46,5f2bca26ba0be61b0c1ccf2a
47,5f2bca26ba0be61b0c1ccf6b
48,5f2bca27ba0be61b0c1cd255
49,5f2bca27ba0be61b0c1cd275
50,5f2bca27ba0be61b0c1cd353
51,5f2bca27ba0be61b0c1cd383
52,5f2bca28ba0be61b0c1cd499
53,5f2bca28ba0be61b0c1cd4a1
54,5f2bca28ba0be61b0c1cd4fa
55,5f2bca28ba0be61b0c1cd552
56,5f2bca29ba0be61b0c1cd776
57,5f2bca29ba0be61b0c1cd789
58,5f2bca29ba0be61b0c1cd7a7
59,5f2bca2aba0be61b0c1cd835
60,5f2bca2cba0be61b0c1cdc61
61,5f2bca2cba0be61b0c1cddba
62,5f2bca2cba0be61b0c1cddee
63,5f2bca2cba0be61b0c1cde94
64,5f2bca2cba0be61b0c1cdf1e
65,5f2bca2dba0be61b0c1ce1d1
66,5f2bca2dba0be61b0c1ce2fe
67,5f2bca2eba0be61b0c1ce424
68,5f2bca2fba0be61b0c1ce805
69,5f2bca2fba0be61b0c1ce9a1
70,5f2bca30ba0be61b0c1cec01
71,5f2bca30ba0be61b0c1cecd3
72,5f2bca30ba0be61b0c1ced55
73,5f2bca30ba0be61b0c1cee5c
74,5f2bca31ba0be61b0c1cf0b2
75,5f2bca31ba0be61b0c1cf31a
76,5f2bca31ba0be61b0c1cf35c
77,5f2bca32ba0be61b0c1cf3fb
78,5f2bca32ba0be61b0c1cf4ee
79,5f2bca32ba0be61b0c1cf4f3
80,5f2bca32ba0be61b0c1cf5c7
81,5f2bca32ba0be61b0c1cf64b
82,5f2bca32ba0be61b0c1cf6c7
83,5f2bca33ba0be61b0c1cf801
84,5f2bca33ba0be61b0c1cfae0
85,5f2bca34ba0be61b0c1cfbb0
86,5f2bca34ba0be61b0c1cfc0a
87,5f2bca34ba0be61b0c1cfcaf
88,5f2bca34ba0be61b0c1cfcdc
89,5f2bca36ba0be61b0c1d000c
90,5f2bca37ba0be61b0c1d0352
91,5f2bca37ba0be61b0c1d0474
92,5f2bca37ba0be61b0c1d04c6
93,5f2bca38ba0be61b0c1d0aba
94,5f2bca39ba0be61b0c1d0b03
95,5f2bca39ba0be61b0c1d0c96
96,5f2bca39ba0be61b0c1d0cff
97,5f2bca39ba0be61b0c1d0d25
98,5f2bca39ba0be61b0c1d0d3d
99,5f2bca39ba0be61b0c1d0e68
100,5f2bca3aba0be61b0c1d0f4c
101,5f2bca3aba0be61b0c1d11fa
102,5f2bca3bba0be61b0c1d1499
103,5f2bca3bba0be61b0c1d154a
104,5f2bca3bba0be61b0c1d158d
105,5f2bca3dba0be61b0c1d194c
106,5f2bca3eba0be61b0c1d1ae9
107,5f2bca3eba0be61b0c1d1b24
108,5f2bca3eba0be61b0c1d1bdf
109,5f2bca3fba0be61b0c1d1e8e
110,5f2bca3fba0be61b0c1d2134
111,5f2bca41ba0be61b0c1d25c4
112,5f2bca43ba0be61b0c1d2da9
113,5f2bca44ba0be61b0c1d2f8c
114,5f2bca44ba0be61b0c1d30b4
115,5f2bca45ba0be61b0c1d34c9
116,5f2bca46ba0be61b0c1d3644
117,5f2bca46ba0be61b0c1d36e0
118,5f2bca46ba0be61b0c1d370b
119,5f2bca46ba0be61b0c1d388a
120,5f2bca46ba0be61b0c1d38a4
121,5f2bca47ba0be61b0c1d39d9
122,5f2bca47ba0be61b0c1d39e2
123,5f2bca47ba0be61b0c1d39f2
124,5f2bca48ba0be61b0c1d3a73
125,5f2bca48ba0be61b0c1d3ac3
126,5f2bca48ba0be61b0c1d3aeb
127,5f2bca48ba0be61b0c1d3b0a
128,5f2bca48ba0be61b0c1d3b31
129,5f2bca48ba0be61b0c1d3b56
130,5f2bca48ba0be61b0c1d3b90
